movie_or_serie,title,release_year,duration_seconds,channel_streaming,action,comedy,adventure,animation,anime,drama,international,kids,horror
TV Show,Alaska Animal Rescue,2019,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Dug Days,2021,1 Season,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Cruella,2021,137 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,Dan in Real Life,2007,99 min,disney_plus,0,1,0,0,0,1,0,0,0
Movie,Disney Princess Remixed - An Ultimate Princess Celebration,2021,22 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Marvel One-Shot: All Hail the King,2014,14 min,disney_plus,0,1,0,0,0,1,0,0,0
Movie,Underdog,2007,85 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Dr. K's Exotic Animal ER,2014,9 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Gigantosaurus,2018,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Life Below Zero: Next Generation,2020,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Eragon,2006,104 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Growing Up Animal,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Fantastic Four,2005,106 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,X-Men,2000,105 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,America's Funniest Home Videos: Animal Edition,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Chicken Squad,2021,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Disney Presents Goofy in How to Stay at Home,2021,1 Season,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,Gabby Duran And The Unsittables,2018,2 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,What If...?,2021,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Beverly Hills Chihuahua 2,2011,88 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,92 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Killer Shark vs Killer Whale,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
